</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!99	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!101
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!99	1	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!102
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!106	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!108
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!106	1	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!109
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!99	2	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!104
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!99	3	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!110
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!99	4	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!111
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!99	5	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!112
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!99	6	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!113
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!138
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	1	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!139
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	2	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!140
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	3	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!141
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	4	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!146
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	5	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!148
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	6	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!149
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	7	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!150
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	8	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!151
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	9	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!152
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	10	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!153
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	11	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!156
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	12	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!157
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	13	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!159
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	14	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!160
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	15	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!163
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	16	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!165
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	17	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!166
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!169	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!172
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!169	1	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!173
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!169	2	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!174
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!169	3	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!175
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!169	4	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!177
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!169	5	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!178
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!169	6	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!179
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!169	7	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!180
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!169	8	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!181
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!169	9	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!183
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!169	10	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!185
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!188	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!191
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!188	1	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!193
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!169	11	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!187
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!169	12	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!195
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!169	13	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!196
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!169	14	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!197
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	18	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!167
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	19	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!203
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!132	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!134
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!132	1	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!207
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!132	2	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!208
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!132	3	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!210
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!132	4	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!211
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!132	5	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!212
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!132	6	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!213
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!132	7	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!214
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!132	8	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!215
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!132	9	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!216
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!132	10	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!223
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!132	11	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!224
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!228	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!230
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!228	1	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!231
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!132	12	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!227
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!237	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!239
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!237	1	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!243
