</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!3	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!4
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!106	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!38
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!99	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!4
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!145	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!144
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!188	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!189
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!169	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!170
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!136	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!131
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!226	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!131
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!233	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!131
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!228	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!131
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!237	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!236
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!132	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!131
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!75	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!73
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!82	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!4
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!308	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!309
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!346	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!306
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!482	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!38
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!542	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!526
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!525	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!526
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!581	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!512
