</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!10	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!11
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!22	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!10
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!31	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!11
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!30	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!31
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!101	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!3
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!102	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!103
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!43	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!45
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!41	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!43
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!108	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!41
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!48	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!45
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!47	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!48
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!109	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!47
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!105	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!106
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!104	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!105
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!110	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!103
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!111	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!103
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!112	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!10
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!113	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!10
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!98	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!99
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!93	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!91
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!92	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!93
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!90	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!91
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!89	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!90
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!125	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!99
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!124	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!125
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!138	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!135
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!139	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!135
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!140	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!135
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!143	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!145
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!142	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!143
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!141	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!142
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!146	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!147
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!148	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!12
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!149	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!10
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!150	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!10
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!151	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!17
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!152	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!17
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!154	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!45
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!153	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!154
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!156	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!129
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!158	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!147
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!157	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!158
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!159	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!154
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!162	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!45
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!161	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!162
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!160	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!161
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!163	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!164
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!165	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!164
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!166	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!164
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!172	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!48
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!173	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!43
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!174	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!162
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!176	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!91
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!175	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!176
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!177	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!90
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!178	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!93
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!179	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!17
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!180	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!48
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!182	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!147
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!181	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!182
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!184	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!147
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!183	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!184
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!186	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!147
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!185	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!186
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!192	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!147
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!191	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!192
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!194	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!147
