</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!6	0
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!7	1
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!8	2
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!77	2
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!78	3
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!79	4
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!80	5
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!81	6
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!84	1
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!85	2
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!86	3
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!87	4
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!311	0
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!312	1
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!313	2
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!314	3
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!315	4
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!316	5
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!317	6
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!318	7
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!319	8
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!492	0
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!493	1
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!494	2
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!495	3
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!496	4
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!322	1
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!323	2
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!324	4
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!328	256
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!329	512
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!330	1024
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!331	2048
