</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!1895	7
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!1900	5
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!1975	5
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!1978	9
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!1996	11
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2001	17
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2024	7
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2027	11
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2028	5
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2032	15
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2033	9
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2042	5
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2048	7
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2055	11
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2056	5
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2070	7
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2073	5
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2097	11
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2119	5
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2127	11
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2135	11
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2148	7
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2154	5
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2158	11
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2207	7
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2220	7
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2226	5
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2373	5
