</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!14	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!15
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!19	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!20
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!23	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!25
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!27	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!28
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!32	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!33
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!95	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!96
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!114	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!96
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!115	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!116
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!118	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!119
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!121	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!122
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!126	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!127
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!249	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!250
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!254	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!255
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!257	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!258
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!267	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!28
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!268	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!269
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!271	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!25
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!283	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!285
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!287	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!285
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!294	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!296
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!302	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!28
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!342	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!343
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!356	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!357
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!359	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!360
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!362	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!363
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!365	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!366
