</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!36	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!19
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!49	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!0
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!50	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!27
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!59	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!0
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!263	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!260
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!273	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!264
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!274	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!264
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!278	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!275
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!304	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!298
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!453	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!305
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!458	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!305
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!461	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!305
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!462	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!305
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!463	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!305
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!467	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!305
